,Review,Sentiment
38,Decent product Not expecting this kind of products from flipkart.READ MORE,1
39,Awesome No one better shuttles in the market.good quality and reasonable price.READ MORE,1
40,Did not meet expectations low qualityREAD MORE,0
41,Really Nice Superb quality... And best price.. Thanks to flipkart..!READ MORE,1
42,Utterly Disappointed second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,0
43,Really Nice I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,1
45,"Absolute rubbish! I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",0
46,"Horrible Quality is not good, rejected qualityREAD MORE",0
47,Mind-blowing purchase This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,1
48,Terrific purchase Really Nice productQuick delivery Thanks filpkartREAD MORE,1
49,Awesome Very nice shuttleREAD MORE,1
50,Don't waste your money Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,0
51,Worst experience ever! Quality very low. Not orginalREAD MORE,0
52,Unsatisfactory WorstREAD MORE,0
53,Very poor Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,0
54,Worst experience ever! Dont but it.... worst productREAD MORE,0
55,Very poor Low quality very bad quality 😡READ MORE,0
56,"Utterly Disappointed The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",0
57,Worthless Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,0
58,Absolute rubbish! Not genuine productREAD MORE,0
59,Waste of money! Waste productREAD MORE,0
60,Absolute rubbish! I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,0
61,Waste of money! Very High PriceREAD MORE,0
62,"Waste of money! Bad bad , compare to ah year back coming mavis 350READ MORE",0
63,"Just wow! The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",1
64,Worst experience ever! Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,0
65,Very poor All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,0
66,Don't waste your money 3rd class quality  I want Returns but time is overREAD MORE,0
67,Very poor Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,0
68,Not recommended at all Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,0
69,Absolute rubbish! Very bad quality 👎READ MORE,0
70,Terrible product Not expected qualityREAD MORE,0
71,Don't waste your money Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,0
72,Waste of money! not durable. very poor qualityREAD MORE,0
73,Good quality product but price is littel bit highREAD MORE,1
74,Terrific purchase GoodREAD MORE,1
75,Just okay NiceREAD MORE,1
76,Perfect product! not the required one.READ MORE,1
77,Not recommended at all This product is not original.please avoid online purchase.READ MORE,0
78,Worthless One shuttle was damaged and vobling..let me know what to doREAD MORE,0
79,Good choice Good quality productREAD MORE,1
80,Terrific purchase Good shuttle and  classic productREAD MORE,1
81,Don't waste your money got defective piecesREAD MORE,0
82,"Horrible bad packing, unsatisfiedREAD MORE",0
83,Awesome Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,1
84,Super! good quality..  nice product..  thanks fpr fast deliveryREAD MORE,1
85,Brilliant Nice cockeREAD MORE,1
86,Just wow! Good qualityREAD MORE,1
87,Duplicate product sold by RetailNet. Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,0
88,Really Nice it's awsm 😎READ MORE,1
89,Best in the market! reasonable priceREAD MORE,1
90,"Super! Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",1
91,Just wow! One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,1
92,"Delightful good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",1
93,Good for starters but not the best. Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,1
94,"Wonderful Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",1
95,"Simply awesome Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",1
96,"Worth every penny got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",1
97,"Mind-blowing purchase This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",1
98,"Wonderful After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",1
99,Delightful very good product n durable but not good enough speed slows down little in mid airREAD MORE,1
100,Brand new and Genuine The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,1
101,Must buy! Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,1
102,Nice product Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,1
103,"Simply awesome This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",1
104,"Hated it! Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",0
105,Unsatisfactory Cost is too high I hate the productREAD MORE,0
106,Utterly Disappointed Very poor quality...inconsistent speed...poor flightREAD MORE,0
107,Excellent Yonex is always best in quality....READ MORE,1
108,Worthless worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,0
109,"MAVIS 350 i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",1
110,Excellent I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,1
111,Mind-blowing purchase Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,1
112,Just wow! checked at Sunrisetnt.com . found genuineREAD MORE,1
113,Did not meet expectations Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,0
114,Not good AverageREAD MORE,0
115,"Excellent shuttlecocks Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",1
116,Best in the market! Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,1
117,"Not recommended at all Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",0
118,Awesome Best shuttle available online no more discription needed.READ MORE,1
119,Just wow! long lasting product.....nice product....READ MORE,1
120,Terrific best shuttleREAD MORE,1
121,Super! 🏸Good Quality... 🏸READ MORE,1
122,Awesome Fabulous itemREAD MORE,1
123,Awesome Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,1
137,Must buy! It's is good product and the service was very goodREAD MORE,1
138,Not recommended at all 2nd qualityREAD MORE,0
139,Moderate Local productREAD MORE,0
140,Not good Very old stock.. not lasts to even 5 gamesREAD MORE,0
141,Utterly Disappointed All shuttles are not good in view of balance.READ MORE,0
142,Just wow! OkREAD MORE,1
143,Terrific purchase Nice product all suttles are good 🥰🥰READ MORE,1
144,Excellent Nice productREAD MORE,1
145,Could be way better Old one onlyREAD MORE,0
146,Perfect product! Super ballREAD MORE,1
147,Must buy! According to cost it's average lifeREAD MORE,1
148,Slightly disappointed So worstREAD MORE,0
149,Not recommended at all 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,0
150,Did not meet expectations Quality not good              It was broken after 2 matchREAD MORE,0
151,Not good Nice product but damage in 1 daysREAD MORE,0
152,Useless product Not good at all this is the worst product I have bought at flipkartREAD MORE,0
153,Absolute rubbish! Low quality. Not durabalityREAD MORE,1
154,Hated it! BadlyREAD MORE,0
155,Don't waste your money Very bad qualityREAD MORE,0
156,Waste of money! Very bad product a word to describe I write duplicate productREAD MORE,0
157,Absolute rubbish! This time quality very very worstREAD MORE,0
158,Expected a better product Poor quality ☹️READ MORE,0
159,Horrible Very  low bad quality product Flipkart is fooling everyoneREAD MORE,1
160,"Expected a better product This shuttles were duplicates, these were not up to the mark.READ MORE",0
161,Useless product Very bad product I ever receivedREAD MORE,0
162,Don't waste your money Bad copy quality riceveREAD MORE,0
163,Very poor Waste of moneyREAD MORE,0
164,Worthless Quality is very bad and very very tired class shuttecockREAD MORE,0
165,Unsatisfactory WorstREAD MORE,0
166,Useless product So poor qualityREAD MORE,0
167,Worthless Reate is wery to muchREAD MORE,0
168,Absolute rubbish! The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,0
169,Expected a better product not upto mark cork getting cracksREAD MORE,0
170,Horrible Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,0
171,"Utterly Disappointed Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",0
172,Must buy! Very goodREAD MORE,1
173,Classy product Good quality of shuttlesREAD MORE,1
174,"Brilliant I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",1
175,Terrible product Bad productedREAD MORE,0
176,Delightful Good productREAD MORE,1
177,Does the job Received counterfeit product.READ MORE,1
178,Fabulous! If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,1
179,Terrific purchase Good productREAD MORE,1
180,Nice One day 1cap gaanREAD MORE,1
181,Just wow! GoodREAD MORE,1
182,Best in the market! Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,1
183,Best in the market! Good qualityREAD MORE,1
184,Good Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,1
185,Worth every penny BestREAD MORE,1
186,Good quality product I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,1
187,Great product This item is so good you can buy it it is originalREAD MORE,1
188,Wonderful Excellent for Indoor courtREAD MORE,1
189,Great product Genuine product. Nice packing.READ MORE,1
190,Highly recommended Good quality..😍🖤READ MORE,1
191,Very Good Nice thanks  FlipkartREAD MORE,1
192,Perfect product! Nice productREAD MORE,1
193,"Good Gradual decrease in quality, less longevity.READ MORE",1
194,Perfect product! Nice productREAD MORE,1
195,Pretty good wow productREAD MORE,1
196,Did not meet expectations 1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,0
197,Useless product Product is not same as shown in the picture.READ MORE,0
198,Nice just Average.... not 100% goodREAD MORE,1
199,"Utterly Disappointed I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",0
200,Moderate Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,0
201,Decent product I found that some of the shuttle are differentREAD MORE,1
202,Very poor shuttle was not of genuine conectarte qualityREAD MORE,0
203,Unsatisfactory poor qualityREAD MORE,0
204,Nice product 2 balls are waste. they are rotate. unable to play.READ MORE,1
205,Worthless very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,0
206,Best in the market! original productREAD MORE,1
207,Not good Shuttle not goodREAD MORE,0
208,Excellent good as expectedREAD MORE,1
209,Highly recommended goodREAD MORE,1
210,Waste of money! Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,0
211,"Must buy! Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",1
212,Nice product Good👍READ MORE,1
213,Simply awesome very niceREAD MORE,1
214,Best in the market! niceREAD MORE,1
215,Awesome nice shuttle for outdoorREAD MORE,1
216,Brilliant good productREAD MORE,1
217,Great product amazing cost and amazing oneREAD MORE,1
218,Nice product The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,1
219,Just wow! good dilevary and very good productREAD MORE,1
220,Fair it's worthREAD MORE,1
221,Just okay GoodREAD MORE,1
222,Did not meet expectations Looks like these are fake shuttles & not sold by yonex.READ MORE,0
223,Unsatisfactory worst product not to buy low qualityREAD MORE,0
224,Worst experience ever! shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,0
225,Hated it! product is not goodREAD MORE,0
226,"Terrible product 5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",0
227,Hated it! bad qualityREAD MORE,0
228,Simply awesome Very good productREAD MORE,1
229,Simply awesome best quality shuttlesREAD MORE,1
230,Classy product good quality. value the moneyREAD MORE,1
231,Good very goodREAD MORE,1
232,Hated it! Very worstREAD MORE,0
233,Very Good NOT BAD....READ MORE,1
234,Classy product shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,1
235,"Utterly Disappointed Bad Quality,,,,,,READ MORE",0
236,Bad quality Quality is not good. Little bit fast.READ MORE,0
237,Must buy! Excellent it's original as I buy in local sports storesREAD MORE,1
238,"Unsatisfactory Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",0
239,Unsatisfactory The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,0
240,Highly recommended Nice product best price superREAD MORE,1
241,Fair If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,1
242,Very Good Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,1
243,Absolute rubbish! It's not suitable for outdoorREAD MORE,0
244,Not good It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,0
245,Moderate Horrible shuttle I ever playREAD MORE,0
246,"Worth every penny Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",1
247,Does the job One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,1
248,"Classy product Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",1
249,Best in the market! Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,1
250,"Terrific purchase Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",1
251,Simply awesome nice itemsREAD MORE,1
252,Fabulous! Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,1
253,Mind-blowing purchase shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,1
254,Great product I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,1
255,Mind-blowing purchase it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,1
256,Decent product Not convinced with the quality of product.READ MORE,1
257,"Utterly Disappointed There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",0
258,Nice okREAD MORE,1
259,good Value for MoneyREAD MORE,1
260,Classy product Excellent product but cost is higherREAD MORE,1
261,Moderate one Shuttle just broken in 4 days by a smashREAD MORE,0
262,"Absolute rubbish! Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",0
263,"Excellent nice shuttle , The Flight is correct, and good durability.READ MORE",1
264,Good choice Ball best but local rate are highREAD MORE,1
266,"Value-for-money Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",1
267,Worth every penny Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,1
268,Absolute rubbish! Very worst rateREAD MORE,0
269,very good shuttle has long life and light.READ MORE,1
270,Worst experience ever! Worst product.Dont go for it.It will not stand for an hour playREAD MORE,0
272,Just wow! Better for beginnersREAD MORE,1
273,"Did not meet expectations shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",0
274,Moderate Its okkREAD MORE,0
275,quality not same 1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,0
276,Super! Nice product for practiceREAD MORE,1
277,Fabulous! ExcellentREAD MORE,1
278,Classy product Good oneREAD MORE,1
279,Excellent NiceREAD MORE,1
280,Good quality product GoodREAD MORE,1
281,Must buy! It is good .READ MORE,1
282,Classy product Original product with great discountREAD MORE,1
283,Above-average product Good productREAD MORE,1
284,"Must buy! Absolutely good quality shuttles,and great packing by the team.READ MORE",1
286,"Worth every penny Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",1
288,Could be way better Poor product...READ MORE,0
289,Slightly disappointed Poor qualityREAD MORE,0
290,Fabulous! Value for moneyREAD MORE,1
291,Fair Not badREAD MORE,1
729,Classy product It's really awesomeREAD MORE,1
730,Delightful SuperREAD MORE,1
731,Awesome GoodREAD MORE,1
732,Excellent Good productREAD MORE,1
733,Awesome The shuttle is working perfectlyREAD MORE,1
734,Terrific purchase NiceREAD MORE,1
735,Great product GudREAD MORE,1
736,Wonderful Super goodREAD MORE,1
737,Value-for-money Better to intermediate nd biggnerREAD MORE,1
738,Delightful goodREAD MORE,1
739,"Best in the market! Good product,READ MORE",1
740,Terrific purchase FineREAD MORE,1
741,Wonderful Super exalent iam very happy thank youREAD MORE,1
742,Fair Not as we expected in qualityREAD MORE,1
743,Worthless Very bad qualityREAD MORE,1
744,Terrific purchase NiceREAD MORE,1
745,"Horrible Waste product.High speed shuttles, not useful to intermediate or advanced players.Looting money with sub-standard Products😡READ MORE",0
746,Wonderful GoodREAD MORE,1
747,Must buy! Fabulous shuttlecock is good for all medium playersREAD MORE,1
748,Not good WorstREAD MORE,0
749,Really Nice GoodREAD MORE,1
750,"Terrible product When I order Yonex MAVIS 350 Slow Speed ball but he send some low quality ball, not puy tha product really worst quality don't buy this product pleaseREAD MORE",0
751,Worth the money It wa goodREAD MORE,1
752,Delightful SuperREAD MORE,1
753,Perfect product! GoodREAD MORE,1
754,Best in the market! Awsome product and one shuttle wears out in 8 gamesREAD MORE,1
755,Mind-blowing purchase Very good quality productREAD MORE,1
756,Must buy! Good quality.READ MORE,1
757,Wonderful Nice shuttlecocksREAD MORE,1
758,Worth the money GoodREAD MORE,1
759,Does the job old productREAD MORE,1
760,Brilliant GoodREAD MORE,1
761,Good quality product Good ProductREAD MORE,1
762,Not recommended at all Very bad 😤😤😤😤😤😤😤READ MORE,0
763,Terrific purchase Orginal quality productREAD MORE,1
764,Good quality product Good but high price...READ MORE,1
765,Excellent Best shuttlecocks in indoor and outdoor badmintonREAD MORE,1
766,Super! GoodREAD MORE,1
767,Absolute rubbish! Worst qualityREAD MORE,0
768,Excellent Excellent productREAD MORE,1
769,Just wow! ExlentREAD MORE,1
770,Terrific GoodREAD MORE,1
771,Very Good SuperREAD MORE,1
772,Fabulous! PerfectREAD MORE,1
773,Worth the money Good but very costlyREAD MORE,1
774,Great product Good product👍READ MORE,1
775,Wonderful GoodREAD MORE,1
776,Awesome Very goodREAD MORE,1
777,"Highly recommended Very good quality, happy with the purchaseREAD MORE",1
778,Brilliant It's original and it's the best.Go for it without hesitation.READ MORE,1
779,Wonderful Good product. great experienceREAD MORE,1
780,Worth every penny Shuttle is very good 🙂READ MORE,1
781,Terrific purchase Tq flippy it's original barrelREAD MORE,1
782,Really Nice Real Yonex..satisfiedREAD MORE,1
783,Perfect product! SuperREAD MORE,1
784,Awesome Best shuttle of Mavis company. And thanks to flipcart service .READ MORE,1
785,Just wow! SuperREAD MORE,1
786,Mind-blowing purchase To goodREAD MORE,1
787,Super! BestREAD MORE,1
788,Simply awesome awesomeREAD MORE,1
789,Nice product Awesome quality.READ MORE,1
790,Very Good GoodREAD MORE,1
791,Mind-blowing purchase GoodREAD MORE,1
792,Terrific purchase Nice 👍READ MORE,1
793,Terrific purchase Awesome product indeed. The closest to feather shuttleREAD MORE,1
794,Awesome PerfectREAD MORE,1
795,"Terrific purchase Nice product with best quality, if you are beginner  just go for it.Really worth for the money you spent.READ MORE",1
796,Worth every penny Perfectly geniune product....Thank you seller....READ MORE,1
797,Mind-blowing purchase Very good productREAD MORE,0
798,Terrific purchase Best in classREAD MORE,1
799,Highly recommended SuperREAD MORE,1
800,Simply awesome GreatREAD MORE,1
801,Simply awesome GoodREAD MORE,1
802,Highly recommended NiceREAD MORE,1
803,Brilliant GoodREAD MORE,1
804,Fabulous! GoodREAD MORE,1
805,Great product GoodREAD MORE,1
806,Bad quality Worst qualityREAD MORE,0
807,Highly recommended Superb ..nodoubtREAD MORE,1
808,"Just wow! In terms of flight, stability and durability only 350  is better and can be consider nearly similar to feather Shuttles (AS 2 or rsl no. 5) otherwise all other mavis shuttles (300, 2000, 600 etc.) are not so goodREAD MORE",1
809,Awesome Best shuttle in this price. Quality is so good and good to play.READ MORE,1
810,Worth every penny Gud quality superREAD MORE,1
811,"Classy product Yonex 350 is always best for practice, and it does the job nicelyREAD MORE",1
812,Mind-blowing purchase Good productREAD MORE,1
813,Delightful A best quality 😍READ MORE,1
814,Simply awesome Nice qualityREAD MORE,1
815,Hated it! Very bad quality.... Not even stable for one game ...READ MORE,0
816,Worthless Shuttle is Used . Very bedREAD MORE,0
817,Classy product GoodREAD MORE,1
818,Brilliant Best price.best shuttle.Please offer the same price again.so that i can buy 3 barrels once again.READ MORE,1
819,Really Nice GoodREAD MORE,1
820,Moderate The quality of this box was not goodREAD MORE,0
821,Terrible product Seller sent duplicate productREAD MORE,0
822,Really Nice Very good quality and genuine productREAD MORE,1
823,Perfect product! Nice best productREAD MORE,1
824,Great product Quality is goodREAD MORE,1
825,Decent product GoodREAD MORE,1
826,Good quality product Nice productREAD MORE,1
827,"Really Nice Good product , reasonable priceREAD MORE",1
828,Does the job AverageREAD MORE,1
