,Up Votes,Down Votes,Month,Ratings,Review,Year,Sentiment
18,12.0,1.0,Aug,5,Super! Delivered on expected timeREAD MORE,2020,Positive
19,14.0,3.0,Feb,5,Awesome nice and original productREAD MORE,2019,Positive
20,30.0,10.0,Jun,5,Awesome Very nice and Good price compare then local sports.READ MORE,2018,Positive
21,11.0,1.0,Mar,5,Highly recommended It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,2021,Positive
22,5.0,0.0,May,4,Nice product superbREAD MORE,2020,Positive
23,4.0,0.0,Jul,1,"Unsatisfactory Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",2018,Negative
24,13.0,3.0,May,4,Nice product Genuine product at very reasonable price....got for Rs 630/-READ MORE,2018,Positive
25,19.0,8.0,Oct,5,Fabulous! Good sealed Original Yonex ShuttlesREAD MORE,2018,Positive
26,3.0,0.0,Apr,2,Not good They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2021,Negative
27,4.0,0.0,Feb,4,Good choice I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,2021,Positive
28,6.0,0.0,Nov,5,Great product quality is pooverREAD MORE,2020,Positive
29,14.0,5.0,Jun,5,Best in the market! good productREAD MORE,2018,Positive
30,9.0,3.0,Jul,5,Super! Good product.....READ MORE,2018,Positive
31,216.0,219.0,Mar,4,Very Good Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,2020,Positive
35,2.0,0.0,Jan,2,Not good shuttle is over rotatingREAD MORE,2022,Negative
36,3.0,0.0,Mar,1,Absolute rubbish! Very bad quality.READ MORE,2021,Negative
37,2.0,0.0,Feb,1,Worst experience ever! Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,2021,Negative
38,3.0,0.0,Jan,3,Decent product Not expecting this kind of products from flipkart.READ MORE,2021,Neutral
39,3.0,0.0,May,5,Awesome No one better shuttles in the market.good quality and reasonable price.READ MORE,2017,Positive
40,4.0,1.0,Mar,1,Did not meet expectations low qualityREAD MORE,2019,Negative
41,8.0,3.0,Nov,4,Really Nice Superb quality... And best price.. Thanks to flipkart..!READ MORE,2018,Positive
42,4.0,1.0,Aug,1,Utterly Disappointed second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,2018,Negative
43,5.0,1.0,Dec,4,Really Nice I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,2018,Positive
45,1.0,0.0,Oct,1,"Absolute rubbish! I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",2022,Negative
46,1.0,0.0,Sep,1,"Horrible Quality is not good, rejected qualityREAD MORE",2022,Negative
47,1.0,0.0,Nov,5,Mind-blowing purchase This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,2021,Positive
48,0.0,0.0,Oct,5,Terrific purchase Really Nice productQuick delivery Thanks filpkartREAD MORE,2021,Positive
49,2.0,0.0,Aug,5,Awesome Very nice shuttleREAD MORE,2021,Positive
50,0.0,0.0,Jun,1,Don't waste your money Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,2021,Negative
51,0.0,0.0,Jun,1,Worst experience ever! Quality very low. Not orginalREAD MORE,2021,Negative
52,0.0,0.0,Jun,1,Unsatisfactory WorstREAD MORE,2021,Negative
53,0.0,0.0,Jun,1,Very poor Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,2021,Negative
54,0.0,0.0,Jun,1,Worst experience ever! Dont but it.... worst productREAD MORE,2021,Negative
55,0.0,0.0,Jun,1,Very poor Low quality very bad quality 😡READ MORE,2021,Negative
56,0.0,0.0,May,1,"Utterly Disappointed The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",2021,Negative
57,0.0,0.0,May,1,Worthless Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,2021,Negative
58,0.0,0.0,May,1,Absolute rubbish! Not genuine productREAD MORE,2021,Negative
59,0.0,0.0,May,1,Waste of money! Waste productREAD MORE,2021,Negative
60,0.0,0.0,May,1,Absolute rubbish! I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,2021,Negative
61,0.0,0.0,May,1,Waste of money! Very High PriceREAD MORE,2021,Negative
62,0.0,0.0,Apr,1,"Waste of money! Bad bad , compare to ah year back coming mavis 350READ MORE",2021,Negative
63,2.0,0.0,Apr,5,"Just wow! The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",2021,Positive
64,0.0,0.0,Apr,1,Worst experience ever! Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,2021,Negative
65,0.0,0.0,Apr,1,Very poor All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,2021,Negative
66,0.0,0.0,Apr,1,Don't waste your money 3rd class quality  I want Returns but time is overREAD MORE,2021,Negative
67,0.0,0.0,Apr,1,Very poor Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,2021,Negative
68,0.0,0.0,Apr,1,Not recommended at all Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,2021,Negative
69,0.0,0.0,Apr,1,Absolute rubbish! Very bad quality 👎READ MORE,2021,Negative
70,1.0,0.0,Feb,1,Terrible product Not expected qualityREAD MORE,2021,Negative
71,1.0,0.0,Feb,1,Don't waste your money Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,2021,Negative
72,1.0,0.0,Jan,1,Waste of money! not durable. very poor qualityREAD MORE,2021,Negative
73,1.0,0.0,Jan,4,Good quality product but price is littel bit highREAD MORE,2021,Positive
74,0.0,0.0,Sep,5,Terrific purchase GoodREAD MORE,2020,Positive
75,1.0,0.0,Aug,3,Just okay NiceREAD MORE,2020,Neutral
76,0.0,0.0,Jul,5,Perfect product! not the required one.READ MORE,2020,Positive
77,2.0,0.0,Jul,1,Not recommended at all This product is not original.please avoid online purchase.READ MORE,2020,Negative
78,1.0,0.0,Jul,1,Worthless One shuttle was damaged and vobling..let me know what to doREAD MORE,2020,Negative
79,0.0,0.0,Mar,4,Good choice Good quality productREAD MORE,2020,Positive
80,0.0,0.0,Dec,5,Terrific purchase Good shuttle and  classic productREAD MORE,2019,Positive
81,2.0,0.0,Sep,1,Don't waste your money got defective piecesREAD MORE,2019,Negative
82,1.0,0.0,Jun,1,"Horrible bad packing, unsatisfiedREAD MORE",2019,Negative
83,1.0,0.0,Apr,5,Awesome Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,2019,Positive
84,2.0,0.0,Apr,5,Super! good quality..  nice product..  thanks fpr fast deliveryREAD MORE,2019,Positive
85,2.0,0.0,Feb,5,Brilliant Nice cockeREAD MORE,2019,Positive
86,2.0,0.0,Feb,5,Just wow! Good qualityREAD MORE,2019,Positive
87,2.0,0.0,Jan,1,Duplicate product sold by RetailNet. Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,2019,Negative
88,2.0,0.0,Jan,4,Really Nice it's awsm 😎READ MORE,2019,Positive
89,2.0,0.0,Dec,5,Best in the market! reasonable priceREAD MORE,2018,Positive
90,2.0,0.0,May,5,"Super! Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",2018,Positive
91,2.0,2.0,Sep,5,Just wow! One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,2017,Positive
92,1.0,1.0,Jan,4,"Delightful good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",2018,Positive
93,1.0,1.0,Jan,4,Good for starters but not the best. Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,2018,Positive
94,1.0,1.0,Dec,4,"Wonderful Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",2017,Positive
95,1.0,1.0,Oct,5,"Simply awesome Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",2017,Positive
96,8.0,5.0,Apr,5,"Worth every penny got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",2018,Positive
97,6.0,2.0,Jan,5,"Mind-blowing purchase This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",2019,Positive
98,0.0,0.0,May,4,"Wonderful After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",2018,Positive
99,0.0,0.0,May,4,Delightful very good product n durable but not good enough speed slows down little in mid airREAD MORE,2018,Positive
100,0.0,0.0,Apr,4,Brand new and Genuine The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,2018,Positive
101,0.0,0.0,Feb,5,Must buy! Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,2018,Positive
102,0.0,2.0,Sep,4,Nice product Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,2017,Positive
103,2.0,0.0,Jan,5,"Simply awesome This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",2022,Positive
104,3.0,1.0,Dec,1,"Hated it! Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",2021,Negative
105,1.0,1.0,Feb,1,Unsatisfactory Cost is too high I hate the productREAD MORE,2021,Negative
106,1.0,1.0,Dec,1,Utterly Disappointed Very poor quality...inconsistent speed...poor flightREAD MORE,2020,Negative
107,3.0,0.0,Feb,5,Excellent Yonex is always best in quality....READ MORE,2019,Positive
108,3.0,1.0,Jul,1,Worthless worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,2018,Negative
109,3.0,0.0,Apr,5,"MAVIS 350 i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",2019,Positive
110,4.0,1.0,Mar,5,Excellent I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,2018,Positive
111,4.0,2.0,May,5,Mind-blowing purchase Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,2017,Positive
112,4.0,2.0,Oct,5,Just wow! checked at Sunrisetnt.com . found genuineREAD MORE,2018,Positive
113,4.0,5.0,Jun,1,Did not meet expectations Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,2021,Negative
114,2.0,2.0,Dec,2,Not good AverageREAD MORE,2019,Negative
115,3.0,2.0,Jul,5,"Excellent shuttlecocks Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",2017,Positive
116,3.0,2.0,May,5,Best in the market! Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,2019,Positive
117,3.0,4.0,Aug,1,"Not recommended at all Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",2018,Negative
118,2.0,1.0,Oct,5,Awesome Best shuttle available online no more discription needed.READ MORE,2021,Positive
119,0.0,1.0,Nov,5,Just wow! long lasting product.....nice product....READ MORE,2019,Positive
120,2.0,0.0,Jul,5,Terrific best shuttleREAD MORE,2019,Positive
121,1.0,1.0,Feb,5,Super! 🏸Good Quality... 🏸READ MORE,2019,Positive
122,2.0,0.0,Jan,5,Awesome Fabulous itemREAD MORE,2019,Positive
123,1.0,0.0,Oct,5,Awesome Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,2018,Positive
137,1.0,0.0,Nov,5,Must buy! It's is good product and the service was very goodREAD MORE,2022,Positive
138,1.0,0.0,Oct,1,Not recommended at all 2nd qualityREAD MORE,2022,Negative
139,1.0,0.0,Oct,2,Moderate Local productREAD MORE,2022,Negative
140,1.0,0.0,Oct,2,Not good Very old stock.. not lasts to even 5 gamesREAD MORE,2022,Negative
141,1.0,0.0,Oct,1,Utterly Disappointed All shuttles are not good in view of balance.READ MORE,2022,Negative
142,0.0,0.0,Jul,5,Just wow! OkREAD MORE,2022,Positive
143,1.0,0.0,Jul,5,Terrific purchase Nice product all suttles are good 🥰🥰READ MORE,2022,Positive
144,1.0,0.0,Jul,5,Excellent Nice productREAD MORE,2022,Positive
145,1.0,0.0,May,2,Could be way better Old one onlyREAD MORE,2022,Negative
146,1.0,0.0,May,5,Perfect product! Super ballREAD MORE,2022,Positive
147,0.0,0.0,Mar,5,Must buy! According to cost it's average lifeREAD MORE,2022,Positive
148,0.0,0.0,Mar,2,Slightly disappointed So worstREAD MORE,2022,Negative
149,0.0,0.0,Mar,1,Not recommended at all 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,2022,Negative
150,0.0,0.0,Mar,1,Did not meet expectations Quality not good              It was broken after 2 matchREAD MORE,2022,Negative
151,0.0,0.0,Mar,2,Not good Nice product but damage in 1 daysREAD MORE,2022,Negative
152,0.0,0.0,Mar,1,Useless product Not good at all this is the worst product I have bought at flipkartREAD MORE,2022,Negative
153,0.0,0.0,Mar,5,Absolute rubbish! Low quality. Not durabalityREAD MORE,2022,Positive
154,0.0,0.0,Mar,1,Hated it! BadlyREAD MORE,2022,Negative
155,0.0,0.0,Mar,1,Don't waste your money Very bad qualityREAD MORE,2022,Negative
156,0.0,0.0,Feb,1,Waste of money! Very bad product a word to describe I write duplicate productREAD MORE,2022,Negative
157,1.0,0.0,Feb,1,Absolute rubbish! This time quality very very worstREAD MORE,2022,Negative
158,1.0,0.0,Feb,2,Expected a better product Poor quality ☹️READ MORE,2022,Negative
159,0.0,0.0,Feb,3,Horrible Very  low bad quality product Flipkart is fooling everyoneREAD MORE,2022,Neutral
160,0.0,0.0,Feb,2,"Expected a better product This shuttles were duplicates, these were not up to the mark.READ MORE",2022,Negative
161,0.0,0.0,Feb,1,Useless product Very bad product I ever receivedREAD MORE,2022,Negative
162,0.0,0.0,Feb,1,Don't waste your money Bad copy quality riceveREAD MORE,2022,Negative
163,0.0,0.0,Feb,1,Very poor Waste of moneyREAD MORE,2022,Negative
164,0.0,0.0,Jan,1,Worthless Quality is very bad and very very tired class shuttecockREAD MORE,2022,Negative
165,0.0,0.0,Jan,1,Unsatisfactory WorstREAD MORE,2022,Negative
166,0.0,0.0,Jan,1,Useless product So poor qualityREAD MORE,2022,Negative
167,1.0,0.0,Jan,1,Worthless Reate is wery to muchREAD MORE,2022,Negative
168,1.0,0.0,Dec,1,Absolute rubbish! The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,2021,Negative
169,1.0,0.0,Dec,2,Expected a better product not upto mark cork getting cracksREAD MORE,2021,Negative
170,1.0,0.0,Dec,1,Horrible Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,2021,Negative
171,1.0,0.0,Aug,1,"Utterly Disappointed Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",2021,Negative
172,1.0,0.0,Aug,5,Must buy! Very goodREAD MORE,2021,Positive
173,1.0,0.0,Jul,5,Classy product Good quality of shuttlesREAD MORE,2021,Positive
174,1.0,0.0,Jun,5,"Brilliant I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",2021,Positive
175,1.0,0.0,Jun,1,Terrible product Bad productedREAD MORE,2021,Negative
176,0.0,0.0,May,4,Delightful Good productREAD MORE,2021,Positive
177,0.0,0.0,May,3,Does the job Received counterfeit product.READ MORE,2021,Neutral
178,1.0,0.0,Apr,5,Fabulous! If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,2021,Positive
179,1.0,0.0,Mar,5,Terrific purchase Good productREAD MORE,2021,Positive
180,1.0,0.0,Mar,3,Nice One day 1cap gaanREAD MORE,2021,Neutral
181,1.0,0.0,Feb,5,Just wow! GoodREAD MORE,2021,Positive
182,1.0,0.0,Feb,5,Best in the market! Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,2021,Positive
183,1.0,0.0,Nov,5,Best in the market! Good qualityREAD MORE,2020,Positive
184,1.0,0.0,Aug,3,Good Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,2020,Neutral
185,1.0,0.0,Aug,5,Worth every penny BestREAD MORE,2020,Positive
186,1.0,0.0,Jul,4,Good quality product I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,2020,Positive
187,1.0,0.0,Jul,5,Great product This item is so good you can buy it it is originalREAD MORE,2020,Positive
188,1.0,0.0,Jul,5,Wonderful Excellent for Indoor courtREAD MORE,2020,Positive
189,1.0,0.0,May,5,Great product Genuine product. Nice packing.READ MORE,2020,Positive
190,0.0,0.0,Mar,5,Highly recommended Good quality..😍🖤READ MORE,2020,Positive
191,0.0,0.0,Feb,4,Very Good Nice thanks  FlipkartREAD MORE,2020,Positive
192,0.0,0.0,Feb,5,Perfect product! Nice productREAD MORE,2020,Positive
193,1.0,0.0,Feb,3,"Good Gradual decrease in quality, less longevity.READ MORE",2020,Neutral
194,0.0,0.0,Feb,5,Perfect product! Nice productREAD MORE,2020,Positive
195,1.0,0.0,Jan,4,Pretty good wow productREAD MORE,2020,Positive
196,1.0,0.0,Dec,1,Did not meet expectations 1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,2019,Negative
197,1.0,0.0,Dec,1,Useless product Product is not same as shown in the picture.READ MORE,2019,Negative
198,1.0,0.0,Dec,3,Nice just Average.... not 100% goodREAD MORE,2019,Neutral
199,1.0,0.0,Dec,1,"Utterly Disappointed I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",2019,Negative
200,1.0,0.0,Dec,2,Moderate Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,2019,Negative
201,0.0,0.0,Nov,3,Decent product I found that some of the shuttle are differentREAD MORE,2019,Neutral
202,0.0,0.0,Nov,1,Very poor shuttle was not of genuine conectarte qualityREAD MORE,2019,Negative
203,0.0,0.0,Nov,1,Unsatisfactory poor qualityREAD MORE,2019,Negative
204,0.0,0.0,Nov,4,Nice product 2 balls are waste. they are rotate. unable to play.READ MORE,2019,Positive
205,0.0,0.0,Nov,1,Worthless very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,2019,Negative
206,1.0,0.0,Sep,5,Best in the market! original productREAD MORE,2019,Positive
207,1.0,0.0,Sep,2,Not good Shuttle not goodREAD MORE,2019,Negative
208,1.0,0.0,Aug,5,Excellent good as expectedREAD MORE,2019,Positive
209,1.0,0.0,Jul,5,Highly recommended goodREAD MORE,2019,Positive
210,0.0,0.0,Jul,1,Waste of money! Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,2019,Negative
211,0.0,0.0,Jun,5,"Must buy! Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",2019,Positive
212,0.0,0.0,May,4,Nice product Good👍READ MORE,2019,Positive
213,1.0,0.0,May,5,Simply awesome very niceREAD MORE,2019,Positive
214,1.0,0.0,May,5,Best in the market! niceREAD MORE,2019,Positive
215,1.0,0.0,Apr,5,Awesome nice shuttle for outdoorREAD MORE,2019,Positive
216,1.0,0.0,Apr,5,Brilliant good productREAD MORE,2019,Positive
217,0.0,0.0,Apr,5,Great product amazing cost and amazing oneREAD MORE,2019,Positive
218,1.0,0.0,Apr,4,Nice product The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,2019,Positive
219,1.0,0.0,Apr,5,Just wow! good dilevary and very good productREAD MORE,2019,Positive
220,0.0,0.0,Mar,3,Fair it's worthREAD MORE,2019,Neutral
221,1.0,0.0,Mar,3,Just okay GoodREAD MORE,2019,Neutral
222,0.0,0.0,Feb,1,Did not meet expectations Looks like these are fake shuttles & not sold by yonex.READ MORE,2019,Negative
223,0.0,0.0,Feb,1,Unsatisfactory worst product not to buy low qualityREAD MORE,2019,Negative
224,0.0,0.0,Feb,1,Worst experience ever! shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,2019,Negative
225,0.0,0.0,Feb,1,Hated it! product is not goodREAD MORE,2019,Negative
226,0.0,0.0,Feb,1,"Terrible product 5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",2019,Negative
227,0.0,0.0,Feb,1,Hated it! bad qualityREAD MORE,2019,Negative
228,1.0,0.0,Jan,5,Simply awesome Very good productREAD MORE,2019,Positive
229,0.0,0.0,Jan,5,Simply awesome best quality shuttlesREAD MORE,2019,Positive
230,1.0,0.0,Jan,5,Classy product good quality. value the moneyREAD MORE,2019,Positive
231,1.0,0.0,Jan,3,Good very goodREAD MORE,2019,Neutral
232,1.0,0.0,Nov,1,Hated it! Very worstREAD MORE,2018,Negative
233,1.0,0.0,Oct,4,Very Good NOT BAD....READ MORE,2018,Positive
234,1.0,0.0,Sep,5,Classy product shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,2018,Positive
235,1.0,0.0,Aug,1,"Utterly Disappointed Bad Quality,,,,,,READ MORE",2018,Negative
236,1.0,0.0,Jul,2,Bad quality Quality is not good. Little bit fast.READ MORE,2018,Negative
237,1.0,0.0,Mar,5,Must buy! Excellent it's original as I buy in local sports storesREAD MORE,2018,Positive
238,1.0,0.0,Feb,1,"Unsatisfactory Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",2018,Negative
239,1.0,3.0,Dec,1,Unsatisfactory The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,2020,Negative
240,3.0,3.0,Aug,5,Highly recommended Nice product best price superREAD MORE,2018,Positive
241,1.0,1.0,Jul,3,Fair If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,2020,Neutral
242,2.0,1.0,Oct,4,Very Good Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,2017,Positive
243,1.0,3.0,Jan,1,Absolute rubbish! It's not suitable for outdoorREAD MORE,2022,Negative
